target_width,cursor-width,target_pos_x,target_pos_y,cursor_pos_x,cursor_pos_y,target_vel_x,target_vel_y,timestamp,trial_number,training,gaze_pos_x,gaze_pos_y,tracker_time
0.1,0.0,0.0,0.0,-50.0,89.0,0.0,0.0,6.67572021484375e-06,0,True,-999,-999,-1
0.1,0.0,0.0022708015740778905,0.028088818340630983,-50.0,89.0,0.0,0.0,0.007074832916259766,0,True,-999,-999,-1
0.1,0.0,0.05664239313075308,0.012975024288108601,-50.0,89.0,0.0,0.0,0.014428377151489258,0,True,-999,-999,-1
0.1,0.0,0.06961250536805721,0.05472778894003783,-50.0,89.0,0.0,0.0,0.021353960037231445,0,True,-999,-999,-1
0.1,0.0,0.045899311102472154,-0.04167303756054524,-50.0,89.0,0.0,0.0,0.028325796127319336,0,True,-999,-999,-1
0.1,0.0,0.04205470526763007,-0.001529676052166147,-50.0,89.0,0.0,0.0,0.0352625846862793,0,True,-999,-999,-1
0.1,0.0,0.038947083871760074,0.02940916070880565,-50.0,89.0,0.0,0.0,0.042194366455078125,0,True,-999,-999,-1
0.1,0.0,0.01917630665842781,0.003466449253666723,-50.0,89.0,0.0,0.0,0.04914259910583496,0,True,-999,-999,-1
0.1,0.0,0.017256217999337513,0.033812105259827016,-50.0,89.0,0.0,0.0,0.056084394454956055,0,True,-999,-999,-1
0.1,0.0,-0.012373994787502531,-0.035150797182930946,-50.0,89.0,0.0,0.0,0.06301641464233398,0,True,-999,-999,-1
0.1,0.0,-0.001794466918485487,-0.0569504037221359,-50.0,89.0,0.0,0.0,0.06997060775756836,0,True,-999,-999,-1
0.1,0.0,0.041572327689645,0.009154884230005503,-50.0,89.0,0.0,0.0,0.0769186019897461,0,True,-999,-999,-1
0.1,0.0,0.05628024376875501,-0.003323661363556116,-50.0,89.0,0.0,0.0,0.08386445045471191,0,True,-999,-999,-1
0.1,0.0,0.053222708309496575,-0.04049912430324351,-50.0,89.0,0.0,0.0,0.09080862998962402,0,True,-999,-999,-1
0.1,0.0,0.0025514263649919697,-0.03135116518557382,-50.0,89.0,0.0,0.0,0.09774088859558105,0,True,-999,-999,-1
0.1,0.0,0.03705731597853889,-0.07740501323175272,-50.0,89.0,0.0,0.0,0.1046762466430664,0,True,-999,-999,-1
0.1,0.0,0.007574007665604773,-0.06902474171367726,-50.0,89.0,0.0,0.0,0.11163878440856934,0,True,-999,-999,-1
0.1,0.0,-0.05198357963637628,-0.05470046443409965,-50.0,89.0,0.0,0.0,0.11857795715332031,0,True,-999,-999,-1
0.1,0.0,-0.023985334659230986,-0.05896276459599186,-50.0,89.0,0.0,0.0,0.12551069259643555,0,True,-999,-999,-1
0.1,0.0,-0.06175261426817025,-0.07014901530102646,-50.0,89.0,0.0,0.0,0.1324601173400879,0,True,-999,-999,-1
0.1,0.0,-0.07731382335253881,-0.08623814477455197,-50.0,89.0,0.0,0.0,0.1392214298248291,0,True,-999,-999,-1
0.1,0.0,-0.06401892298471805,-0.07094916980841424,-50.0,89.0,0.0,0.0,0.14635705947875977,0,True,-999,-999,-1
0.1,0.0,-0.07704632164366133,-0.1057776125139041,-50.0,89.0,0.0,0.0,0.15329647064208984,0,True,-999,-999,-1
0.1,0.0,-0.06500082222373135,-0.12782116115877534,-50.0,89.0,0.0,0.0,0.16025543212890625,0,True,-999,-999,-1
0.1,0.0,0.0003256765361633329,-0.0788272720946792,-50.0,89.0,0.0,0.0,0.16720056533813477,0,True,-999,-999,-1
0.1,0.0,0.007786299113915858,-0.02923518228690429,-50.0,89.0,0.0,0.0,0.17414641380310059,0,True,-999,-999,-1
0.1,0.0,0.0193921186269667,-0.055948891703989895,-50.0,89.0,0.0,0.0,0.18111157417297363,0,True,-999,-999,-1
0.1,0.0,-0.025399253449077716,-0.12592798272625005,-50.0,89.0,0.0,0.0,0.18801403045654297,0,True,-999,-999,-1
0.1,0.0,-0.036523709989438276,-0.18017034724889958,-50.0,89.0,0.0,0.0,0.1949625015258789,0,True,-999,-999,-1
0.1,0.0,-0.02498184050023465,-0.1696675203305142,-50.0,89.0,0.0,0.0,0.20191502571105957,0,True,-999,-999,-1
0.1,0.0,-0.08799187606491073,-0.20232346292340747,-50.0,89.0,0.0,0.0,0.20885682106018066,0,True,-999,-999,-1
0.1,0.0,-0.10786121382219946,-0.23632611906056128,-50.0,89.0,0.0,0.0,0.21580934524536133,0,True,-999,-999,-1
0.1,0.0,-0.10554769365435836,-0.27564240497660836,-50.0,89.0,0.0,0.0,0.22289252281188965,0,True,-999,-999,-1
0.1,0.0,-0.09636205856340312,-0.23479354525825374,-50.0,89.0,0.0,0.0,0.2296442985534668,0,True,-999,-999,-1
0.1,0.0,-0.08348740728718748,-0.21974471695251158,-50.0,89.0,0.0,0.0,0.23662781715393066,0,True,-999,-999,-1
0.1,0.0,-0.04550645792732141,-0.22933931690609086,-50.0,89.0,0.0,0.0,0.24357318878173828,0,True,-999,-999,-1
0.1,0.0,-0.06969920434719956,-0.24170185121989754,-50.0,89.0,0.0,0.0,0.250521183013916,0,True,-999,-999,-1
0.1,0.0,-0.04486398579651426,-0.32419142887198477,-50.0,89.0,0.0,0.0,0.2574613094329834,0,True,-999,-999,-1
0.1,0.0,0.002014537502759775,-0.35744363964122605,-50.0,89.0,0.0,0.0,0.2644166946411133,0,True,-999,-999,-1
0.1,0.0,0.007253450353490851,-0.2718516311350163,-50.0,89.0,0.0,0.0,0.2713620662689209,0,True,-999,-999,-1
0.1,0.0,0.03462895636939786,-0.2873740888968816,-50.0,89.0,0.0,0.0,0.278292179107666,0,True,-999,-999,-1
0.1,0.0,0.05458197080639253,-0.2686020968575366,-50.0,89.0,0.0,0.0,0.28525400161743164,0,True,-999,-999,-1
0.1,0.0,0.08687502826434376,-0.22171540666365344,-50.0,89.0,0.0,0.0,0.29220032691955566,0,True,-999,-999,-1
0.1,0.0,0.05045592403668868,-0.2754865674540378,-50.0,89.0,0.0,0.0,0.2991502285003662,0,True,-999,-999,-1
0.1,0.0,0.06719556751581414,-0.2953935271196172,-50.0,89.0,0.0,0.0,0.3060934543609619,0,True,-999,-999,-1
