target_width,cursor-width,target_pos_x,target_pos_y,cursor_pos_x,cursor_pos_y,target_vel_x,target_vel_y,timestamp,trial_number,training,gaze_pos_x,gaze_pos_y,tracker_time
0.1,0.0,0.0,0.0,-1280.0,-720.0,0.0,0.0,5.7220458984375e-06,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.0322959881915247,-0.03870642075202928,-1280.0,-720.0,0.0,0.0,0.0063626766204833984,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.019142801581674543,-0.029150100339158606,-1280.0,-720.0,0.0,0.0,0.013998746871948242,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.04846212530861724,-0.040761708679331585,-1280.0,-720.0,0.0,0.0,0.020809173583984375,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.07554837488611785,-0.11912073481656493,-1280.0,-720.0,0.0,0.0,0.027712106704711914,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,0.012363500822128226,-0.07045057348325433,-1280.0,-720.0,0.0,0.0,0.03458118438720703,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.004983597187231827,-0.07262777992382755,-1280.0,-720.0,0.0,0.0,0.04149484634399414,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.03727889043573172,-0.07251849304023862,-1280.0,-720.0,0.0,0.0,0.04843020439147949,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.07056852130595936,-0.07646613665637685,-1280.0,-720.0,0.0,0.0,0.055388689041137695,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.14711193509844503,-0.17369951325217114,-1280.0,-720.0,0.0,0.0,0.062340497970581055,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.1767009034438603,-0.16822684760846568,-1280.0,-720.0,0.0,0.0,0.0692758560180664,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.13362881270704668,-0.17600878003457307,-1280.0,-720.0,0.0,0.0,0.0762021541595459,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.20994608612191043,-0.17645870014273143,-1280.0,-720.0,0.0,0.0,0.08315706253051758,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.2198315790569571,-0.2196882877784746,-1280.0,-720.0,0.0,0.0,0.09010648727416992,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3054306712948082,-0.22278997307714035,-1280.0,-720.0,0.0,0.0,0.09704923629760742,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.320252474304243,-0.16463845727789958,-1280.0,-720.0,0.0,0.0,0.10401391983032227,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.2979212500953076,-0.12305705421233464,-1280.0,-720.0,0.0,0.0,0.11095428466796875,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3112264879819491,-0.1351322191067308,-1280.0,-720.0,0.0,0.0,0.1179194450378418,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3539300366722874,-0.08770221972573537,-1280.0,-720.0,0.0,0.0,0.12482261657714844,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.40634906739644855,-0.11667296049062865,-1280.0,-720.0,0.0,0.0,0.1317453384399414,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.32092125212455713,-0.0936897159350231,-1280.0,-720.0,0.0,0.0,0.13871145248413086,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3164169785997557,-0.05527445242864479,-1280.0,-720.0,0.0,0.0,0.14564156532287598,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3493920939030723,-0.09656640609795203,-1280.0,-720.0,0.0,0.0,0.15257740020751953,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.2717425576155759,-0.07429985302299702,-1280.0,-720.0,0.0,0.0,0.15952491760253906,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.30899885889725465,-0.07018771133277522,-1280.0,-720.0,0.0,0.0,0.1664731502532959,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3582126846149245,-0.03749203133871258,-1280.0,-720.0,0.0,0.0,0.1734151840209961,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.36176916913948054,-0.13867734538629212,-1280.0,-720.0,0.0,0.0,0.18931865692138672,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3130046942482599,-0.1226665225607684,-1280.0,-720.0,0.0,0.0,0.20130681991577148,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3530833664603749,-0.13545749073754504,-1280.0,-720.0,0.0,0.0,0.20817065238952637,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.4124887059208893,-0.15857666895435538,-1280.0,-720.0,0.0,0.0,0.21509552001953125,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.38498622424392526,-0.1592213703427483,-1280.0,-720.0,0.0,0.0,0.22204065322875977,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3341211460140275,-0.11640310498194201,-1280.0,-720.0,0.0,0.0,0.22898077964782715,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.34300054040901623,-0.12676515126565807,-1280.0,-720.0,0.0,0.0,0.23592734336853027,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3051007425432026,-0.12209314063914442,-1280.0,-720.0,0.0,0.0,0.24287104606628418,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.24442091263056934,-0.11756977739980123,-1280.0,-720.0,0.0,0.0,0.24981045722961426,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.3159426917444357,-0.12515067183343842,-1280.0,-720.0,0.0,0.0,0.25676465034484863,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.27402304023662194,-0.16443260207032373,-1280.0,-720.0,0.0,0.0,0.26370668411254883,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.20077994158882992,-0.26044457701553136,-1280.0,-720.0,0.0,0.0,0.270648717880249,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.23528554274054875,-0.20634583496982067,-1280.0,-720.0,0.0,0.0,0.27756357192993164,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.21547776731837376,-0.18764759375592088,-1280.0,-720.0,0.0,0.0,0.28458476066589355,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.20986230423869146,-0.18765383702791794,-1280.0,-720.0,0.0,0.0,0.29155969619750977,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.24948180327396433,-0.24320829155938264,-1280.0,-720.0,0.0,0.0,0.29844212532043457,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.21484464322047542,-0.23915267912972887,-1280.0,-720.0,0.0,0.0,0.30542612075805664,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.22643151340437256,-0.260332740597825,-1280.0,-720.0,0.0,0.0,0.31238269805908203,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.20871019123901252,-0.259616307459278,-1280.0,-720.0,0.0,0.0,0.31932568550109863,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.21636654011807394,-0.15423842727105747,-1280.0,-720.0,0.0,0.0,0.32626843452453613,0,True,1253.800048828125,532.0,164288.0
0.1,0.0,-0.16850896278037622,-0.08210556528165264,-1280.0,-720.0,0.0,0.0,0.3332173824310303,0,True,1253.800048828125,532.0,164288.0
