trial,time,cursor_x_pix,cursor_y_pix,cursor_x_cm,cursor_y_cm,gaze_x,gaze_y,target_x,target_y,state_marker,button_pressed,start_time
2,19.35206413269043,-238.0,-8.0,-5.5502343750000005,-0.18722222222222223,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.35407328605652,-237.0,-7.0,-5.5269140625,-0.16381944444444446,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.361396551132202,-231.0,-6.0,-5.386992187500001,-0.1404166666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.3683762550354,-225.0,-5.0,-5.247070312500001,-0.11701388888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.375386714935303,-219.0,-5.0,-5.1071484375,-0.11701388888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.382386445999146,-210.0,-5.0,-4.897265625,-0.11701388888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.38938593864441,-200.0,-5.0,-4.664062500000001,-0.11701388888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.39638376235962,-187.0,-7.0,-4.3608984375,-0.16381944444444446,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.40338444709778,-176.0,-9.0,-4.104375,-0.210625,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.41039490699768,-163.0,-12.0,-3.8012109375000005,-0.2808333333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.41739273071289,-149.0,-15.0,-3.4747265625000003,-0.3510416666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.42437171936035,-135.0,-19.0,-3.1482421875,-0.4446527777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.43148112297058,-122.0,-24.0,-2.845078125,-0.5616666666666668,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.438390016555786,-108.0,-28.0,-2.5185937500000004,-0.6552777777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.445380926132202,-91.0,-34.0,-2.1221484375000004,-0.7956944444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.452394247055054,-76.0,-40.0,-1.77234375,-0.9361111111111111,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.45938205718994,-63.0,-46.0,-1.4691796875,-1.0765277777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.466390371322632,-50.0,-52.0,-1.1660156250000002,-1.2169444444444446,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.472423553466797,-41.0,-57.0,-0.9561328125000002,-1.3339583333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.479384660720825,-29.0,-63.0,-0.6762890625000001,-1.474375,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.486384868621826,-19.0,-70.0,-0.4430859375,-1.6381944444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.493382930755615,-12.0,-75.0,-0.27984375000000006,-1.7552083333333335,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.500383138656616,-5.0,-81.0,-0.1166015625,-1.8956250000000001,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.50737166404724,0.0,-86.0,0.0,-2.012638888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.514376163482666,3.0,-89.0,0.06996093750000001,-2.0828472222222225,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.521379470825195,6.0,-93.0,0.13992187500000003,-2.1764583333333336,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.528382539749146,7.0,-97.0,0.16324218750000002,-2.2700694444444447,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.53536868095398,8.0,-99.0,0.18656250000000002,-2.316875,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.5423686504364,8.0,-102.0,0.18656250000000002,-2.3870833333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.549376726150513,8.0,-103.0,0.18656250000000002,-2.410486111111111,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.556355714797974,8.0,-105.0,0.18656250000000002,-2.457291666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.563369274139404,8.0,-106.0,0.18656250000000002,-2.4806944444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.57047200202942,8.0,-107.0,0.18656250000000002,-2.504097222222222,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.577468633651733,8.0,-108.0,0.18656250000000002,-2.5275000000000003,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.584457874298096,8.0,-109.0,0.18656250000000002,-2.550902777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.59144425392151,8.0,-110.0,0.18656250000000002,-2.5743055555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.597463607788086,8.0,-111.0,0.18656250000000002,-2.5977083333333333,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.60435390472412,8.0,-112.0,0.18656250000000002,-2.6211111111111114,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.611453533172607,8.0,-113.0,0.18656250000000002,-2.644513888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.618355989456177,8.0,-113.0,0.18656250000000002,-2.644513888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.625367403030396,8.0,-115.0,0.18656250000000002,-2.691319444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.632370233535767,8.0,-119.0,0.18656250000000002,-2.784930555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.639381170272827,7.0,-124.0,0.16324218750000002,-2.9019444444444447,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.646368980407715,6.0,-130.0,0.13992187500000003,-3.0423611111111115,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.653379917144775,3.0,-138.0,0.06996093750000001,-3.2295833333333337,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.66037940979004,-1.0,-148.0,-0.023320312500000002,-3.463611111111111,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.667372465133667,-5.0,-159.0,-0.1166015625,-3.721041666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.674377918243408,-11.0,-172.0,-0.2565234375,-4.025277777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.68117332458496,-17.0,-186.0,-0.39644531250000004,-4.352916666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.688401222229004,-23.0,-201.0,-0.5363671875,-4.7039583333333335,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.695379734039307,-28.0,-212.0,-0.6529687500000001,-4.961388888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.702382564544678,-33.0,-226.0,-0.7695703125000001,-5.289027777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.709378480911255,-37.0,-239.0,-0.8628515625000001,-5.593263888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.716366291046143,-40.0,-250.0,-0.9328125,-5.850694444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.723363637924194,-41.0,-260.0,-0.9561328125000002,-6.084722222222223,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.72936248779297,-41.0,-266.0,-0.9561328125000002,-6.225138888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.73636817932129,-41.0,-274.0,-0.9561328125000002,-6.412361111111111,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.74340510368347,-40.0,-281.0,-0.9328125,-6.576180555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.750474214553833,-39.0,-289.0,-0.9094921875,-6.763402777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.75743818283081,-37.0,-295.0,-0.8628515625000001,-6.903819444444445,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.76445245742798,-35.0,-301.0,-0.8162109375000001,-7.044236111111111,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.771439790725708,-33.0,-306.0,-0.7695703125000001,-7.161250000000001,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.778459310531616,-31.0,-309.0,-0.7229296875000001,-7.231458333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.785582542419434,-30.0,-312.0,-0.6996093750000001,-7.301666666666667,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.792560338974,-29.0,-314.0,-0.6762890625000001,-7.348472222222223,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.7994282245636,-28.0,-316.0,-0.6529687500000001,-7.395277777777778,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.806412935256958,-28.0,-317.0,-0.6529687500000001,-7.418680555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.813554048538208,-27.0,-318.0,-0.6296484375000001,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.820441246032715,-27.0,-319.0,-0.6296484375000001,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.82756471633911,-26.0,-319.0,-0.6063281250000001,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.834607124328613,-26.0,-319.0,-0.6063281250000001,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.841167449951172,-26.0,-319.0,-0.6063281250000001,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.847646236419678,-26.0,-320.0,-0.6063281250000001,-7.488888888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.854968070983887,-26.0,-320.0,-0.6063281250000001,-7.488888888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.86185383796692,-26.0,-320.0,-0.6063281250000001,-7.488888888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.868519067764282,-25.0,-320.0,-0.5830078125000001,-7.488888888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.875513553619385,-24.0,-320.0,-0.5596875000000001,-7.488888888888889,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.88253879547119,-22.0,-319.0,-0.513046875,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.88951563835144,-20.0,-319.0,-0.46640625,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.89652442932129,-18.0,-319.0,-0.41976562500000003,-7.465486111111112,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.903516054153442,-16.0,-318.0,-0.37312500000000004,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.910494327545166,-13.0,-318.0,-0.30316406250000005,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.917465925216675,-10.0,-318.0,-0.233203125,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.92457890510559,-8.0,-318.0,-0.18656250000000002,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.931546926498413,-5.0,-317.0,-0.1166015625,-7.418680555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.938870668411255,-3.0,-317.0,-0.06996093750000001,-7.418680555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.944955110549927,-1.0,-317.0,-0.023320312500000002,-7.418680555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.95158839225769,0.0,-317.0,0.0,-7.418680555555556,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
2,19.95858907699585,1.0,-318.0,0.023320312500000002,-7.442083333333334,-34048.0,33488.0,-504.99924341545085,-36.000363966528255,0,False,1.2250482477203537
