trial,time,cursor_x_pix,cursor_y_pix,gaze_x,gaze_y,cursor_x_cm,cursor_y_cm,target_x,target_y
2,41.70796728134155,-423.0,-207.0,-9.864492187500002,-4.844375,-123.300048828125,-339.0,365.0,262.0
2,41.72051167488098,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.721693992614746,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.72812819480896,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.73529672622681,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.742740869522095,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.7495813369751,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.75648832321167,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.76341366767883,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.77041554450989,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.77663469314575,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.78568148612976,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.791797399520874,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.79948401451111,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.806411266326904,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.81334137916565,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.820297956466675,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.82723879814148,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.83417820930481,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.84181308746338,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.848498821258545,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.855199098587036,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.8618803024292,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.869694232940674,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.876365423202515,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.88249683380127,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.88995051383972,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.896647453308105,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.90363574028015,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.91057538986206,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.917515993118286,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.92394423484802,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.931397676467896,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.93838286399841,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.945971727371216,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.952815532684326,-423.0,-207.0,-9.864492187500002,-4.844375,-123.0,-342.300048828125,365.0,262.0
2,41.9597430229187,-422.0,-208.0,-9.841171875,-4.867777777777778,-123.0,-342.300048828125,365.0,262.0
2,41.96681499481201,-420.0,-209.0,-9.79453125,-4.891180555555556,-123.0,-342.300048828125,365.0,262.0
2,41.973384618759155,-418.0,-209.0,-9.747890625000002,-4.891180555555556,-123.0,-342.300048828125,365.0,262.0
2,41.98040318489075,-415.0,-210.0,-9.6779296875,-4.914583333333334,-123.0,-342.300048828125,365.0,262.0
2,41.98741149902344,-411.0,-212.0,-9.5846484375,-4.961388888888889,-123.0,-342.300048828125,365.0,262.0
2,41.99371576309204,-406.0,-214.0,-9.468046875,-5.008194444444444,-123.0,-342.300048828125,365.0,262.0
2,42.000699043273926,-400.0,-216.0,-9.328125000000002,-5.055000000000001,-123.0,-342.300048828125,365.0,262.0
2,42.007702589035034,-393.0,-219.0,-9.1648828125,-5.125208333333334,-123.0,-342.300048828125,365.0,262.0
2,42.014699935913086,-384.0,-223.0,-8.955000000000002,-5.218819444444445,-123.0,-342.300048828125,365.0,262.0
2,42.021723985672,-374.0,-227.0,-8.721796875,-5.312430555555556,-123.0,-342.300048828125,365.0,262.0
2,42.02870726585388,-362.0,-232.0,-8.441953125000001,-5.429444444444445,-123.0,-342.300048828125,365.0,262.0
2,42.03476619720459,-351.0,-235.0,-8.185429687500001,-5.499652777777778,-123.0,-342.300048828125,365.0,262.0
2,42.042460680007935,-337.0,-239.0,-7.858945312500001,-5.593263888888889,-123.0,-342.300048828125,365.0,262.0
2,42.04870915412903,-327.0,-242.0,-7.625742187500001,-5.6634722222222225,-123.0,-342.300048828125,365.0,262.0
2,42.05571222305298,-317.0,-244.0,-7.392539062500001,-5.710277777777778,-123.0,-342.300048828125,365.0,262.0
2,42.06269693374634,-310.0,-245.0,-7.229296875000001,-5.733680555555556,-123.0,-342.300048828125,365.0,262.0
2,42.06971049308777,-304.0,-246.0,-7.089375,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.07668995857239,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
