target_width,cursor-width,target_pos_x,target_pos_y,cursor_pos_x,cursor_pos_y,target_vel_x,target_vel_y,timestamp,trial_number,training,gaze_pos_x,gaze_pos_y,tracker_time,state_marker
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,5.7220458984375e-06,0,True,-34048.0,33488.0,4574014.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.006429433822631836,0,True,-34048.0,33488.0,4574021.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.013376474380493164,0,True,-34048.0,33488.0,4574028.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.02031111717224121,0,True,-34048.0,33488.0,4574035.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.027339696884155273,0,True,-34048.0,33488.0,4574042.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.03424835205078125,0,True,-34048.0,33488.0,4574049.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.04121971130371094,0,True,-34048.0,33488.0,4574056.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.04813957214355469,0,True,-34048.0,33488.0,4574062.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.05509781837463379,0,True,-34048.0,33488.0,4574069.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.06173205375671387,0,True,-34048.0,33488.0,4574076.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.06899309158325195,0,True,-34048.0,33488.0,4574083.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.07596755027770996,0,True,-34048.0,33488.0,4574090.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.0829312801361084,0,True,-34048.0,33488.0,4574097.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.08991074562072754,0,True,-34048.0,33488.0,4574104.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.09683632850646973,0,True,-34048.0,33488.0,4574111.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.10378074645996094,0,True,-34048.0,33488.0,4574118.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.11074304580688477,0,True,-34048.0,33488.0,4574125.0,0
0.1,0.0,0.0,0.0,-0.05626713590047879,-0.08440070385071817,0,0,0.11768317222595215,0,True,-34048.0,33488.0,4574132.0,0
