trial,time,cursor_x_pix,cursor_y_pix,cursor_x_cm,cursor_y_cm,gaze_x,gaze_y,target_x,target_y,state_marker,button_pressed,start_time
5,481.832004070282,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,74.0999755859375,7.0,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.83807706832886,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,73.5,5.5,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.84474205970764,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,75.5,5.0,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.85173296928406,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,73.4000244140625,4.5999755859375,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.85859298706055,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,70.9000244140625,3.0,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.86563897132874,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,68.699951171875,-3.0999755859375,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.87263441085815,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,73.199951171875,-10.9000244140625,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.87959265708923,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,82.199951171875,-43.29998779296875,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.8856408596039,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,83.199951171875,-71.5,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.89262986183167,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,86.5999755859375,-96.79998779296875,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.89963126182556,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,92.5999755859375,-98.79998779296875,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.906635761261,-3.0,-348.0,-0.06996093750000001,-8.144166666666667,100.5,-101.5999755859375,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.91373777389526,-2.0,-348.0,-0.046640625000000005,-8.144166666666667,99.699951171875,-94.5999755859375,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
5,481.9206573963165,-2.0,-348.0,-0.046640625000000005,-8.144166666666667,97.5999755859375,-97.79998779296875,-478.55646197641494,1.9167206701233113,0,True,1.065184575351076
