target_width,cursor-width,target_pos_x,target_pos_y,cursor_pos_x,cursor_pos_y,target_vel_x,target_vel_y,timestamp,trial_number,training,gaze_pos_x,gaze_pos_y,tracker_time,state_marker
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,7.152557373046875e-06,0,True,-34048.0,33488.0,6216460.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.0058536529541015625,0,True,-34048.0,33488.0,6216466.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.013138532638549805,0,True,-34048.0,33488.0,6216473.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.020032167434692383,0,True,-34048.0,33488.0,6216480.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.02696990966796875,0,True,-34048.0,33488.0,6216487.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.033922672271728516,0,True,-34048.0,33488.0,6216494.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.04085826873779297,0,True,-34048.0,33488.0,6216501.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.0478053092956543,0,True,-34048.0,33488.0,6216508.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.05475354194641113,0,True,-34048.0,33488.0,6216515.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.06168556213378906,0,True,-34048.0,33488.0,6216522.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.06863665580749512,0,True,-34048.0,33488.0,6216529.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.0755915641784668,0,True,-34048.0,33488.0,6216536.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.08253622055053711,0,True,-34048.0,33488.0,6216543.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.08946990966796875,0,True,-34048.0,33488.0,6216550.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.09641647338867188,0,True,-34048.0,33488.0,6216557.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.10337328910827637,0,True,-34048.0,33488.0,6216564.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.11041450500488281,0,True,-34048.0,33488.0,6216571.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.11725926399230957,0,True,-34048.0,33488.0,6216578.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.1242058277130127,0,True,-34048.0,33488.0,6216584.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.13110089302062988,0,True,-34048.0,33488.0,6216591.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.1380465030670166,0,True,-34048.0,33488.0,6216598.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.14498424530029297,0,True,-34048.0,33488.0,6216605.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.1519160270690918,0,True,-34048.0,33488.0,6216612.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.15886998176574707,0,True,-34048.0,33488.0,6216619.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.16581320762634277,0,True,-34048.0,33488.0,6216626.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.17275571823120117,0,True,-34048.0,33488.0,6216633.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.1797044277191162,0,True,-34048.0,33488.0,6216640.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.18664240837097168,0,True,-34048.0,33488.0,6216647.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.19359064102172852,0,True,-34048.0,33488.0,6216654.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.20053815841674805,0,True,-34048.0,33488.0,6216661.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2074887752532959,0,True,-34048.0,33488.0,6216668.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2144460678100586,0,True,-34048.0,33488.0,6216675.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.22137928009033203,0,True,-34048.0,33488.0,6216682.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.22832584381103516,0,True,-34048.0,33488.0,6216689.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.23526811599731445,0,True,-34048.0,33488.0,6216695.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2422177791595459,0,True,-34048.0,33488.0,6216702.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.24915552139282227,0,True,-34048.0,33488.0,6216710.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2561028003692627,0,True,-34048.0,33488.0,6216716.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.26304125785827637,0,True,-34048.0,33488.0,6216723.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.26998162269592285,0,True,-34048.0,33488.0,6216730.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.27692365646362305,0,True,-34048.0,33488.0,6216737.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2838752269744873,0,True,-34048.0,33488.0,6216744.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.2908143997192383,0,True,-34048.0,33488.0,6216751.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.29775261878967285,0,True,-34048.0,33488.0,6216758.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.304703950881958,0,True,-34048.0,33488.0,6216765.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3116464614868164,0,True,-34048.0,33488.0,6216772.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.31860923767089844,0,True,-34048.0,33488.0,6216779.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.32556629180908203,0,True,-34048.0,33488.0,6216786.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.33249545097351074,0,True,-34048.0,33488.0,6216793.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3394286632537842,0,True,-34048.0,33488.0,6216800.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.34640026092529297,0,True,-34048.0,33488.0,6216807.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3533341884613037,0,True,-34048.0,33488.0,6216814.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.360278844833374,0,True,-34048.0,33488.0,6216821.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3672165870666504,0,True,-34048.0,33488.0,6216827.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3741645812988281,0,True,-34048.0,33488.0,6216834.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.381103515625,0,True,-34048.0,33488.0,6216842.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.388059139251709,0,True,-34048.0,33488.0,6216848.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.3949859142303467,0,True,-34048.0,33488.0,6216855.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4019296169281006,0,True,-34048.0,33488.0,6216862.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4088726043701172,0,True,-34048.0,33488.0,6216869.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.415820837020874,0,True,-34048.0,33488.0,6216876.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.42275500297546387,0,True,-34048.0,33488.0,6216883.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.42970824241638184,0,True,-34048.0,33488.0,6216890.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.43665480613708496,0,True,-34048.0,33488.0,6216897.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4435908794403076,0,True,-34048.0,33488.0,6216904.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4505453109741211,0,True,-34048.0,33488.0,6216911.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4575037956237793,0,True,-34048.0,33488.0,6216918.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4644277095794678,0,True,-34048.0,33488.0,6216925.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4713897705078125,0,True,-34048.0,33488.0,6216932.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4783437252044678,0,True,-34048.0,33488.0,6216939.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.48527097702026367,0,True,-34048.0,33488.0,6216945.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.4922211170196533,0,True,-34048.0,33488.0,6216953.0,1
0.1,0.0,0.0,0.0,0.014066783975119698,-0.014066783975119698,0,0,0.49915122985839844,0,True,-34048.0,33488.0,6216959.0,2
0.1,0.0,-0.025964134404585674,0.021065538686593353,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5061614513397217,0,True,-34048.0,33488.0,6216966.0,2
0.1,0.0,-0.08065301863352102,-0.02840762425706652,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5130887031555176,0,True,-34048.0,33488.0,6216973.0,2
0.1,0.0,-0.17050560911195606,-0.06341939235183627,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5200297832489014,0,True,-34048.0,33488.0,6216980.0,2
0.1,0.0,-0.18519578463568298,-0.07034943199829621,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5269594192504883,0,True,-34048.0,33488.0,6216987.0,2
0.1,0.0,-0.14550121541345895,-0.05101515476932717,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5339090824127197,0,True,-34048.0,33488.0,6216994.0,2
0.1,0.0,-0.1639355630739306,-0.06016822626882011,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5408570766448975,0,True,-34048.0,33488.0,6217001.0,2
0.1,0.0,-0.1348287010200622,-0.08692178733266862,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5477912425994873,0,True,-34048.0,33488.0,6217008.0,2
0.1,0.0,-0.17425607936879806,-0.013515745234697757,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5547387599945068,0,True,-34048.0,33488.0,6217015.0,2
0.1,0.0,-0.13636161124581678,0.054768845887209205,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5616819858551025,0,True,-34048.0,33488.0,6217022.0,2
0.1,0.0,-0.1771630489329062,0.031808774316997204,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5686349868774414,0,True,-34048.0,33488.0,6217029.0,2
0.1,0.0,-0.16202035347077146,0.032765100802223716,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5755729675292969,0,True,-34048.0,33488.0,6217036.0,2
0.1,0.0,-0.15672430748691915,-0.001293450466717437,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5825412273406982,0,True,-34048.0,33488.0,6217043.0,2
0.1,0.0,-0.034327515721507385,-0.09097794947697216,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.589475154876709,0,True,-34048.0,33488.0,6217050.0,2
0.1,0.0,0.018515608009448695,-0.14705709728334615,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.5964279174804688,0,True,-34048.0,33488.0,6217057.0,2
0.1,0.0,-0.03528649261427412,-0.16005937822967697,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6033618450164795,0,True,-34048.0,33488.0,6217064.0,2
0.1,0.0,-0.0007157420803131642,-0.17895787661220783,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6103041172027588,0,True,-34048.0,33488.0,6217070.0,2
0.1,0.0,-0.020280215334339366,-0.0894481028399517,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6172657012939453,0,True,-34048.0,33488.0,6217077.0,2
0.1,0.0,-0.00992858662032377,-0.10696463111369123,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.624192476272583,0,True,-34048.0,33488.0,6217085.0,2
0.1,0.0,-0.04924123101936061,-0.11323802823399037,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6311559677124023,0,True,-34048.0,33488.0,6217091.0,2
0.1,0.0,-0.08336038858755837,-0.11001576523345809,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6380884647369385,0,True,-34048.0,33488.0,6217098.0,2
0.1,0.0,-0.11366852404221527,-0.11795687229429927,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6450347900390625,0,True,-34048.0,33488.0,6217105.0,2
0.1,0.0,-0.05497223806729798,-0.07047491009190612,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6519725322723389,0,True,-34048.0,33488.0,6217112.0,2
0.1,0.0,-0.0610353371746342,-0.10271393199852374,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6589069366455078,0,True,-34048.0,33488.0,6217119.0,2
0.1,0.0,-0.10292808956279428,-0.019363739804963476,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6658554077148438,0,True,-34048.0,33488.0,6217126.0,2
0.1,0.0,-0.15873913425095415,-0.03524071477554652,0.014066783975119698,-0.014066783975119698,0.0,0.0,0.6728017330169678,0,True,-34048.0,33488.0,6217133.0,2
